object id,gd class,community alias,gmdkit alias,editor tab,tab index
159,GameObject,Wavy Decoration Right Edge,,11,203
160,GameObject,,,,
161,GameObject,,,,
162,GameObject,,,,
163,GameObject,,,,
164,GameObject,,,,
165,GameObject,,,,
166,GameObject,,,,
167,GameObject,,,,
168,GameObject,,,,
169,GameObject,,,,
170,GameObject,Metal Slab Outer Corner,,1,820
171,GameObject,Metal Slab End Short Connection,,1,821
172,GameObject,Metal Slab End Full Connection,,1,822
173,GameObject,Metal Slab Outer Corner,,1,824
174,GameObject,Three-Quarters Width Metal Slab Inner Corner,,1,826
175,GameObject,Metal Block,,1,827
176,GameObject,Small Metal Block,,1,828
177,GameObject,Ice Spike,,4,12
178,GameObject,Half Ice Spike,,4,13
179,GameObject,Small Ice Spike,,4,14
180,EnhancedGameObject,Large Cartwheel,,12,36
181,EnhancedGameObject,Medium Cartwheel,,12,37
182,EnhancedGameObject,Small Cartwheel,,12,38
183,EnhancedGameObject,Large Blade,,12,23
184,EnhancedGameObject,Medium Blade,,12,24
185,EnhancedGameObject,Small Blade,,12,25
186,EnhancedGameObject,Large Outline Blade,,12,9
187,EnhancedGameObject,Medium Outline Blade,,12,10
188,EnhancedGameObject,Small Outline Blade,,12,11
190,GameObject,Tall Diamond Rod,,11,16
191,GameObject,,,,
192,GameObject,Single Metal Slab,,1,823
193,GameObject,,,,
194,GameObject,Metal Slab Inner Corner,,1,825
195,GameObject,,,,
196,GameObject,,,,
197,GameObject,Three-Quarters Width Metal Slab,,1,829
198,GameObject,,,,
199,GameObject,,,,
200,EffectGameObject,Yellow Slow Speed Portal,speed.SLOW,6,36
201,EffectGameObject,Blue Normal Speed Portal,speed.NORMAL,6,37
202,EffectGameObject,Green Fast Speed Portal,speed.FAST,6,38
203,EffectGameObject,Pink Fast Speed Portal,speed.VERY_FAST,6,39
204,GameObject,Invisible Small Slab,,2,46
205,GameObject,Invisible Half Spike,,4,9
206,GameObject,Invisible Small Square,,2,45
207,GameObject,Colored Square,,1,36
208,GameObject,Colored Top Square,,1,37
209,GameObject,Colored Outer Corner Square,,1,38
210,GameObject,Colored Inner Corner Square,,1,39
211,GameObject,Colored Inner Square,,1,40
212,GameObject,Colored Top Pillar Square,,1,41
213,GameObject,Colored Pillar Square,,1,42
215,GameObject,Colored Slab,,1,811
216,GameObject,Colored Spike,,4,4
217,GameObject,Colored Half Spike,,4,5
218,GameObject,Colored Small Spike,,4,6
219,GameObject,Colored Small Slab,,1,813
220,GameObject,Colored Small Square,,1,812
222,EnhancedGameObject,Large Round Cloud,,12,39
223,EnhancedGameObject,Medium Round Cloud,,12,40
224,EnhancedGameObject,Small Round Cloud,,12,41
225,GameObject,Curved Pipe,,11,20
226,GameObject,Corner Curved Pipe,,11,21
227,GameObject,Angled Highlight,,11,204
228,GameObject,Inner Corner Angled Highlight,,11,205
229,GameObject,Large Hexagon Pipe,,11,24
230,GameObject,Corner Large Hexagon Pipe,,11,25
231,GameObject,Small Hexagon Pipe,,11,31
232,GameObject,Corner Small Hexagon Pipe,,11,32
233,GameObject,Decorative Light Bricks,,11,38
234,GameObject,Decorative Light Bricks Slab,,11,41
235,GameObject,Decorative Light Brick Edge,,11,42
236,GameObject,Large Pulsing Hollow Circle,,12,94
237,GameObject,Straight Square Pipe,,11,26
238,GameObject,Corner Square Pipe,,11,27
239,GameObject,Three-Sided Square Pipe,,11,28
240,GameObject,Four-Sided Square Pipe,,11,29
241,GameObject,One-Sided Square Pipe,,11,30
242,GameObject,Outer Corner Angled Highlight,,11,206
243,GameObject,,,,
244,GameObject,,,,
245,GameObject,Decorative Black Bricks,,11,45
246,GameObject,Decorative Black Brick Edge,,11,46
247,GameObject,,,,
248,GameObject,,,,
249,GameObject,,,,
250,GameObject,,,,
251,GameObject,,,,
252,GameObject,,,,
253,GameObject,,,,
254,GameObject,,,,
255,GameObject,Colored Beveled Square,,1,51
256,GameObject,Colored Beveled Top Square,,1,52
257,GameObject,Colored Beveled Outer Corner Square,,1,53
258,GameObject,Colored Beveled Inner Corner Square,,1,54
259,GameObject,Colored Beveled Inner Square,,1,55
260,GameObject,Colored Beveled Top Pillar Square,,1,56
261,GameObject,Colored Beveled Pillar Square,,1,57
263,GameObject,Mechanical Colored Square,,1,58
264,GameObject,Mechanical Colored Top Square,,1,59
265,GameObject,Mechanical Colored Outer Corner Square,,1,60
266,GameObject,Mechanical Colored Inner Square,,1,61
267,GameObject,Mechanical Colored Top Pillar Square,,1,62
268,GameObject,Mechanical Colored Pillar Square,,1,63
269,GameObject,Colored Bricks Square,,1,64
270,GameObject,Colored Bricks Top,,1,65
271,GameObject,Colored Bricks Outer Corner,,1,66
272,GameObject,Colored Bricks Inner Corner,,1,67
273,GameObject,Non-Solid Colored Bricks,,1,68
274,GameObject,Colored Bricks Pillar Top,,1,69
275,GameObject,Colored Bricks Pillar,,1,70
277,GameObject,Decorative Colored Brick,,11,43
278,GameObject,Decorative Colored Half-Brick,,11,44
279,GameObject,Transparent Colored Square,,11,36
280,GameObject,Transparent Colored Grid Patterned Square,,11,37
281,GameObject,Transparent Colored Mechanical Square,,11,39
282,GameObject,Transparent Colored Beveled Square,,11,40
283,GameObject,Three-Sided Hexagon Pipe,,11,33
284,GameObject,Four-Sided Hexagon Pipe,,11,34
285,GameObject,Hexagon Pipe End,,11,35
286,EffectGameObject,Dual Portal,portal.DUAL_ENTER,6,29
287,EffectGameObject,Exit Dual Portal,portal.DUAL_EXIT,6,30
289,GameObject,,,,
291,GameObject,,,,
294,GameObject,Wavy Black Slope,,3,18
295,GameObject,Wavy Black Wide Slope,,3,19
296,GameObject,Wavy Black Slope Corner,,3,20
297,GameObject,Wavy Black Wide Slope Corner,,3,21
299,GameObject,,,,
301,GameObject,,,,
305,GameObject,Mechanical Slope,,3,4
307,GameObject,Mechanical Wide Slope,,3,5
309,GameObject,,,,
311,GameObject,,,,
315,GameObject,,,,
317,GameObject,,,,
321,GameObject,,,,
323,GameObject,,,,
324,GameObject,Striped Slope Connector,,3,77
325,GameObject,Wide Striped Slope Connector,,3,78
326,GameObject,Metal Slab Slope,,3,22
327,GameObject,Metal Slab Slope,,3,23
328,GameObject,Metal Slab Slope Connector,,3,24
329,GameObject,Metal Slab Wide Slope Connector,,3,25
331,GameObject,,,,
333,GameObject,,,,
337,GameObject,,,,
339,GameObject,,,,
343,GameObject,,,,
345,GameObject,,,,
349,GameObject,Mechanical Colored Slope,,3,26
351,GameObject,Mechanical Colored Wide Slope,,3,27
353,GameObject,,,,
355,GameObject,,,,
358,GameObject,Wide Striped Slope Connector 2,,3,79
363,GameObject,,,,
364,GameObject,,,,
365,GameObject,,,,
366,GameObject,,,,
367,GameObject,,,,
368,GameObject,,,,
369,GameObject,,,,
370,GameObject,,,,
371,GameObject,Black Gradient Slope,,3,10
372,GameObject,Black Gradient Wide Slope,,3,11
373,GameObject,Black Gradient Slope Corner,,3,12
374,GameObject,Black Gradient Wide Slope Corner,,3,13
375,EnhancedGameObject,Large Rotating Arm,,12,42
376,EnhancedGameObject,Medium Rotating Arm,,12,43
377,EnhancedGameObject,Small Rotating Arm,,12,44
378,EnhancedGameObject,Very Small Rotating Arm,,12,45
392,GameObject,Black Gradient Tiny Spike,,4,3
393,GameObject,,,,
394,EnhancedGameObject,Large Rotating Hexagon,,12,54
395,EnhancedGameObject,Medium Rotating Hexagon,,12,55
396,EnhancedGameObject,Small Rotating Hexagon,,12,56
397,EnhancedGameObject,,,,
398,EnhancedGameObject,,,,
399,EnhancedGameObject,,,,
405,GameObject,Pulsing Hexagon,,12,87
406,GameObject,Patch of Grass,,11,49
407,GameObject,Patch of Grass 2,,11,50
408,GameObject,Patch of Grass 3,,11,51
409,GameObject,Colored Mechanical Connector Two Opposite Sides,,11,59
410,GameObject,Colored Mechanical Connector Two Adjacent Sides,,11,60
411,GameObject,Colored Mechanical Connector Three Sides,,11,61
412,GameObject,Colored Mechanical Connector Four Sides,,11,62
413,GameObject,Colored Mechanical Connector One Side,,11,63
414,GameObject,Patch of Grass 4,,11,48
419,GameObject,Water 1,,11,207
420,GameObject,Water 2,,11,208
421,GameObject,,,,
422,GameObject,,,,
446,GameObject,,,,
447,GameObject,,,,
448,GameObject,Rough Damage Block 1,,11,210
449,GameObject,Rough Damage Block 2,,11,211
450,GameObject,Big Equalizer,,11,212
451,GameObject,Small Equalizer,,11,213
452,GameObject,Tiny Equalizer,,11,214
453,GameObject,Black Mechanical Connector Two Opposite Sides,,11,65
454,GameObject,Black Mechanical Connector Two Adjacent Sides,,11,66
455,GameObject,Black Mechanical Connector Three Sides,,11,67
456,GameObject,Black Mechanical Connector Four Sides,,11,68
457,GameObject,Black Mechanical Connector One Side,,11,69
458,GameObject,Colored Tiny Spike,,4,7
459,GameObject,Invisible Tiny Spike,,4,11
460,GameObject,Large Pulsing Arrow 2,,12,89
461,GameObject,,,,
462,GameObject,,,,
463,GameObject,,,,
464,GameObject,,,,
465,GameObject,,,,
466,GameObject,,,,
467,GameObject,Outline Square,,2,0
468,GameObject,Outline Top,,2,1
469,GameObject,Outline Outer Corner,,2,2
470,GameObject,Outline Top Pillar,,2,3
471,GameObject,Outline Pillar,,2,4
472,GameObject,Outline Inner Corner,,2,7
473,GameObject,Outline Slope Corner,,2,8
474,GameObject,Outline Wide Slope Corner,,2,9
475,GameObject,Outline Slope Side,,2,19
476,GameObject,Colored Connected Inner Square,,1,85
477,GameObject,Colored Connected Square Singular,,1,86
478,GameObject,Colored Connected Top Pillar Square,,1,87
479,GameObject,Colored Connected Corner Square,,1,88
480,GameObject,Colored Connected Pillar Square,,1,89
481,GameObject,Colored Connected Three Point Square,,1,90
482,GameObject,Colored Connected Four Point Square,,1,91
483,GameObject,,,,
484,GameObject,,,,
485,GameObject,Colored Connected Diamonds,,1,92
486,GameObject,Colored Connected Diamonds Center,,1,93
487,GameObject,Colored Connected Diamonds Single Corner,,1,94
488,GameObject,Colored Connected Diamonds Two Adjacent Corners,,1,95
489,GameObject,Colored Connected Diamonds Two Opposite Corners,,1,96
490,GameObject,Colored Connected Diamonds Three Corners,,1,97
491,GameObject,Colored Connected Diamonds Four Corners,,1,98
492,GameObject,,,,
493,GameObject,,,,
494,GameObject,Large Pulsing Arrow 3,,12,90
495,GameObject,Large Pulsing Square,,12,96
496,GameObject,Large Pulsing Hollow Square,,12,97
497,GameObject,Large Pulsing Circle,,12,95
498,GameObject,Chain Link,,11,4
499,GameObject,Chain Base,,11,5
500,GameObject,Zig-Zag Pipe,,11,22
501,GameObject,Zig-Zag Pipe Corner,,11,23
502,GameObject,Decorative Grid Patterned Inner Corner,,1,6
503,GameObject,Straight Medium Glow,,11,223
504,GameObject,Outer Corner Medium Glow,,11,225
505,GameObject,Inner Corner Medium Glow,,11,224
506,GameObject,3DL Top Left,,5,0
507,GameObject,3DL Top Middle,,5,1
508,GameObject,3DL Half Top Middle,,5,2
509,GameObject,3DL Top Right,,5,3
510,GameObject,3DL Inner Corner,,5,4
511,GameObject,3DL Outer Corner,,5,5
512,GameObject,3DL Half Top Left,,5,6
513,GameObject,3DL Wide Slope,,5,7
514,GameObject,3DL Slope,,5,8
515,GameObject,Grid Patterned 3DL Top Left,,5,9
516,GameObject,Grid Patterned 3DL Top Middle,,5,10
517,GameObject,Grid Patterned 3DL Half Top Middle,,5,11
518,GameObject,Grid Patterned 3DL Top Right,,5,12
519,GameObject,Grid Patterned 3DL Inner Corner,,5,13
520,GameObject,Grid Patterned 3DL Outer Corner,,5,14
521,GameObject,Grid Patterned 3DL Half Top Left,,5,15
522,GameObject,Grid Patterned 3DL Wide Slope,,5,16
523,GameObject,Grid Patterned 3DL Slope,,5,17
524,GameObject,Beveled 3DL Top Left,,5,18
525,GameObject,Beveled 3DL Top Middle,,5,19
526,GameObject,Beveled 3DL Half Top Middle,,5,20
527,GameObject,Beveled 3DL Top Right,,5,21
528,GameObject,Beveled 3DL Inner Corner,,5,22
529,GameObject,Beveled 3DL Outer Corner,,5,23
530,GameObject,Beveled 3DL Half Top Left,,5,24
531,GameObject,Beveled 3DL Wide Slope,,5,25
532,GameObject,Beveled 3DL Slope,,5,26
533,GameObject,Grey 3DL Top Left,,5,27
534,GameObject,Grey 3DL Top Middle,,5,28
535,GameObject,Grey 3DL Half Top Middle,,5,29
536,GameObject,Grey 3DL Top Right,,5,30
537,GameObject,Grey 3DL Inner Corner,,5,31
538,GameObject,Grey 3DL Outer Corner,,5,32
539,GameObject,Grey 3DL Half Top Left,,5,33
540,GameObject,Grey 3DL Wide Slope,,5,34
541,GameObject,Grey 3DL Slope,,5,35
542,GameObject,Black 3DL Top Left,,5,36
543,GameObject,Black 3DL Top Middle,,5,37
544,GameObject,Black 3DL Half Top Middle,,5,38
545,GameObject,Black 3DL Top Right,,5,39
546,GameObject,Black 3DL Inner Corner,,5,40
547,GameObject,Black 3DL Outer Corner,,5,41
548,GameObject,Black 3DL Half Top Left,,5,42
549,GameObject,Black 3DL Wide Slope,,5,43
550,GameObject,Black 3DL Slope,,5,44
551,GameObject,Bricks 3DL Top Left,,5,45
552,GameObject,Bricks 3DL Top Middle,,5,46
553,GameObject,Bricks 3DL Half Top Middle,,5,47
554,GameObject,Bricks 3DL Top Right,,5,48
555,GameObject,Bricks 3DL Inner Corner,,5,49
556,GameObject,Bricks 3DL Outer Corner,,5,50
557,GameObject,Bricks 3DL Half Top Left,,5,51
558,GameObject,Bricks 3DL Wide Slope,,5,52
559,GameObject,Bricks 3DL Slope,,5,53
560,GameObject,Striped 3DL Top Left,,5,54
561,GameObject,Striped 3DL Top Middle,,5,55
562,GameObject,Striped 3DL Half Top Middle,,5,56
563,GameObject,Striped 3DL Top Right,,5,57
564,GameObject,Striped 3DL Inner Corner,,5,58
565,GameObject,Striped 3DL Outer Corner,,5,59
566,GameObject,Striped 3DL Half Top Left,,5,60
567,GameObject,Striped 3DL Wide Slope,,5,61
568,GameObject,Striped 3DL Slope,,5,62
569,GameObject,Metal 3DL Top Left,,5,63
570,GameObject,Metal 3DL Top Middle,,5,64
571,GameObject,Metal 3DL Half Top Middle,,5,65
572,GameObject,Metal 3DL Top Right,,5,66
573,GameObject,Metal 3DL Inner Corner,,5,67
574,GameObject,Metal 3DL Outer Corner,,5,68
575,GameObject,Metal 3DL Half Top Left,,5,69
576,GameObject,Metal 3DL Wide Slope,,5,70
577,GameObject,Metal 3DL Slope,,5,71
578,GameObject,Colored 3DL Top Left,,5,72
579,GameObject,Colored 3DL Top Middle,,5,73
580,GameObject,Colored 3DL Half Top Middle,,5,74
581,GameObject,Colored 3DL Top Right,,5,75
582,GameObject,Colored 3DL Inner Corner,,5,76
583,GameObject,Colored 3DL Outer Corner,,5,77
584,GameObject,Colored 3DL Half Top Left,,5,78
585,GameObject,Colored 3DL Wide Slope,,5,79
586,GameObject,Colored 3DL Slope,,5,80
587,GameObject,Colored Grid Patterned 3DL Top Left,,5,82
588,GameObject,Colored Grid Patterned 3DL Top Middle,,5,83
589,GameObject,Colored Grid Patterned 3DL Half Top Middle,,5,84
590,GameObject,Colored Grid Patterned 3DL Top Right,,5,85
591,GameObject,Colored Grid Patterned 3DL Inner Corner,,5,86
592,GameObject,Colored Grid Patterned 3DL Outer Corner,,5,87
593,GameObject,Colored Grid Patterned 3DL Half Top Left,,5,88
594,GameObject,Colored Grid Patterned 3DL Wide Slope,,5,89
595,GameObject,Colored Grid Patterned 3DL Slope,,5,90
596,GameObject,Colored Beveled 3DL Top Left,,5,91
597,GameObject,Colored Beveled 3DL Top Middle,,5,92
598,GameObject,Colored Beveled 3DL Half Top Middle,,5,93
599,GameObject,Colored Beveled 3DL Top Right,,5,94
600,GameObject,Colored Beveled 3DL Inner Corner,,5,95
601,GameObject,Colored Beveled 3DL Outer Corner,,5,96
602,GameObject,Colored Beveled 3DL Half Top Left,,5,97
603,GameObject,Colored Beveled 3DL Wide Slope,,5,98
604,GameObject,Colored Beveled 3DL Slope,,5,99
605,GameObject,Colored Translucent 3DL Top Left,,5,100
606,GameObject,Colored Translucent 3DL Top Middle,,5,101
607,GameObject,Colored Translucent 3DL Half Top Middle,,5,102
608,GameObject,Colored Translucent 3DL Top Right,,5,103
609,GameObject,Colored Translucent 3DL Inner Corner,,5,104
610,GameObject,Colored Translucent 3DL Outer Corner,,5,105
611,GameObject,Colored Translucent 3DL Half Top Left,,5,106
612,GameObject,Colored Translucent 3DL Wide Slope,,5,107
613,GameObject,Colored Translucent 3DL Slope,,5,108
614,GameObject,Colored Bricks 3DL Top Left,,5,109
615,GameObject,Colored Bricks 3DL Top Middle,,5,110
616,GameObject,Colored Bricks 3DL Half Top Middle,,5,111
617,GameObject,Colored Bricks 3DL Top Right,,5,112
618,GameObject,Colored Bricks 3DL Inner Corner,,5,113
619,GameObject,Colored Bricks 3DL Outer Corner,,5,114
620,GameObject,Colored Bricks 3DL Half Top Left,,5,115
621,GameObject,Colored Bricks 3DL Wide Slope,,5,116
622,GameObject,Colored Bricks 3DL Slope,,5,117
623,GameObject,Connected Square 3DL Top Left,,5,118
624,GameObject,Connected Square 3DL Top Middle,,5,119
625,GameObject,Connected Square 3DL Half Top Middle,,5,120
626,GameObject,Connected Square 3DL Top Right,,5,121
627,GameObject,Connected Square 3DL Inner Corner,,5,122
628,GameObject,Connected Square 3DL Outer Corner,,5,123
629,GameObject,Connected Square 3DL Half Top Left,,5,124
630,GameObject,Connected Square 3DL Wide Slope,,5,125
631,GameObject,Connected Square 3DL Slope,,5,126
632,GameObject,Connected Diamonds 3DL Top Left,,5,127
633,GameObject,Connected Diamonds 3DL Top Middle,,5,128
634,GameObject,Connected Diamonds 3DL Half Top Middle,,5,129
635,GameObject,Connected Diamonds 3DL Top Right,,5,130
636,GameObject,Connected Diamonds 3DL Inner Corner,,5,131
637,GameObject,Connected Diamonds 3DL Outer Corner,,5,132
638,GameObject,Connected Diamonds 3DL Half Top Left,,5,133
639,GameObject,Connected Diamonds 3DL Wide Slope,,5,134
640,GameObject,Connected Diamonds 3DL Slope,,5,135
641,GameObject,Colored Connected Pluses 3 Sides 2 Corners,,1,101
642,GameObject,Colored Connected Pluses 2 Sides 1 Corner,,1,104
643,GameObject,Colored Connected Pluses 1 Side,,1,106
644,GameObject,Colored Connected Plus,,1,99
645,GameObject,Colored Connected Pluses 2 Opposite Sides,,1,107
646,GameObject,Colored Connected Pluses 3 Sides 1 Corner,,1,103
647,GameObject,Colored Connected Pluses 4 Sides 4 Corners,,1,108
648,GameObject,Colored Connected Pluses 4 Sides 3 Corners,,1,109
649,GameObject,Colored Connected Pluses 4 Sides 2 Adjacent Corners,,1,110
650,GameObject,Colored Connected Plus Empty,,1,100
651,GameObject,,,,
652,GameObject,,,,
653,GameObject,Small White Tile,,1,831
654,GameObject,Small Dark Grey Tile,,1,833
655,GameObject,Dark Grey Tile Slab,,1,838
656,GameObject,White Tile Slab,,1,836
657,GameObject,Small Checkered Tile,,1,835
658,GameObject,White Tile,,1,114
659,GameObject,Dark Grey Tile,,1,116
660,EffectGameObject,Wave Portal,portal.WAVE,6,23
661,GameObject,Outline Small Square,,2,10
662,GameObject,Outline Slab,,2,11
663,GameObject,Outline Slab Middle,,2,12
664,GameObject,Outline Slab Side,,2,13
665,GameObject,,,,
666,GameObject,,,,
667,GameObject,,,,
668,GameObject,Grey Patterned Tile Edge,,11,75
669,GameObject,Grey Patterned Tile Inner Corner,,11,76
670,GameObject,Grey Patterned Tile Outer Corner,,11,77
671,GameObject,Grey Patterned Tile Pipe,,11,78
672,GameObject,Grey Patterned Tile Pipe Base,,11,79
673,GameObject,Invisible Slope,,2,47
674,GameObject,Invisible Wide Slope,,2,48
678,EnhancedGameObject,Large Colored Gear,,12,15
679,EnhancedGameObject,Medium Colored Gear,,12,16
680,EnhancedGameObject,Small Colored Gear,,12,17
681,GameObject,Decorative Grid Patterned Slope,,3,65
682,GameObject,Decorative Grid Patterned Wide Slope,,3,66
683,GameObject,Decorative Beveled Slope,,3,67
684,GameObject,Decorative Beveled Wide Slope,,3,68
685,GameObject,Decorative Mechanical Slope,,3,69
686,GameObject,Decorative Mechanical  Wide Slope,,3,70
687,GameObject,Decorative Black Slope,,3,71
688,GameObject,Decorative Black Wide Slope,,3,72
689,GameObject,Decorative Brick Slope,,3,73
